Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2017,GLA Household Estimate 2017,Inland Area (Hectares),Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2015),Net international migration (2015),Net natural change (2015),% of resident population born abroad (2015),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2016),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Largest migrant population arrived during 2015/16,Second largest migrant population arrived during 2015/16,Third largest migrant population arrived during 2015/16,Employment rate (%) (2015),Male employment rate (2015),Female employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),% working-age with a disability (2015),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,"Gross Annual Pay, (2016)",Gross Annual Pay - Male (2016),Gross Annual Pay - Female (2016),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2014),% of employment that is in public sector (2014),"Jobs Density, 2015","Number of active businesses, 2015",Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
E09000011,E09000011,Greenwich,Outer London,280100.00,113964.12,4733.39,59.18,35.00,21.90,67.70,10.40,-407.00,3366.00,2989.00,35.40,Nigeria,5.11,Nepal,1.91,India,1.72,40.32,16.86,7002.00,37.63,Romania,Bulgaria,Italy,72.10,77.90,66.30,8.10,5.36,5.00,9.46,20.20,10.60,42.20,32415.00,35596.00,29833.00,35350.00,17.41,94700.00,27.26,0.51,10060.00,72.70,79.38,2.54,11.89,340000.00,1296.18,1720.00,19.24,26.89,34.15,19.71,34.40,1014.30,34.30,78185.00,0.77,7.68,3.44,58.80,78.00,44.14,17.05,79.00,82.50,28.10,7.20,7.55,7.20,3.40,27.73,6.13,193.20,Lab,15.69,84.31,0.00,37.25
E09000012,E09000012,Hackney,Inner London,274300.00,115416.95,1904.90,144.00,33.10,20.70,72.10,7.20,-738.00,3359.00,3236.00,35.80,Turkey,3.65,Nigeria,2.72,Jamaica,1.80,43.64,24.09,8927.00,46.02,Italy,France,Spain,69.00,72.80,65.30,5.90,4.83,3.00,10.68,17.90,10.80,49.20,32056.00,.,31919.00,35140.00,29.64,132800.00,18.08,0.70,18510.00,76.80,99.65,2.66,11.45,485000.00,1294.42,830.00,11.08,19.75,45.44,23.27,23.20,812.60,25.30,41800.00,0.41,25.22,4.92,60.60,53.00,44.16,19.70,78.50,83.30,24.70,7.03,7.31,6.99,3.76,27.00,5.77,210.59,Lab,7.02,87.72,5.26,39.39
E09000013,E09000013,Hammersmith and Fulham,Inner London,185300.00,83552.37,1639.75,113.01,35.70,17.40,72.30,10.30,-3361.00,2926.00,1462.00,43.20,France,2.73,Ireland,2.67,Australia,2.52,33.74,22.69,9256.00,71.40,Italy,France,Spain,77.50,80.90,74.20,4.70,2.22,2.50,8.40,12.90,4.90,67.50,38041.00,43845.00,34808.00,43820.00,30.48,149500.00,16.44,1.18,14095.00,73.40,113.23,2.00,12.21,730000.00,1003.81,370.00,19.09,21.84,25.94,33.14,19.10,809.30,20.70,43843.00,0.54,20.07,4.67,60.50,58.00,48.89,16.06,79.70,84.10,22.40,7.41,7.53,7.16,3.09,21.32,4.41,187.44,Lab,43.48,56.52,0.00,37.63
E09000014,E09000014,Haringey,Inner London,278000.00,115607.82,2959.84,93.92,35.10,20.00,70.70,9.30,-4233.00,6675.00,2885.00,39.60,Poland,4.26,Turkey,3.96,Jamaica,2.03,38.15,29.71,15144.00,78.48,Romania,Italy,Bulgaria,71.30,77.60,64.80,5.70,5.64,3.50,9.68,16.30,8.80,49.20,31063.00,.,29513.00,35420.00,29.85,91500.00,17.81,0.48,12675.00,74.40,90.21,2.09,12.29,432500.00,1484.01,240.00,17.95,24.75,33.36,23.94,25.50,772.54,37.30,61515.00,0.60,14.09,4.31,59.70,67.00,48.01,16.91,80.10,84.90,22.60,7.24,7.50,7.19,3.18,23.82,5.89,183.38,Lab,0.00,84.21,15.79,38.10
E09000015,E09000015,Harrow,Outer London,252300.00,92556.89,5046.27,50.00,38.30,20.50,64.50,15.00,-3644.00,2833.00,1933.00,49.60,India,9.01,Kenya,4.90,Sri Lanka,4.35,61.76,28.49,10427.00,65.41,Romania,India,Poland,73.90,83.10,64.70,4.60,2.43,1.50,5.45,13.90,4.20,47.90,33202.00,.,29335.00,38880.00,38.88,88600.00,14.46,0.55,15155.00,76.50,50.40,1.34,9.84,396150.00,1559.61,910.00,33.50,32.75,8.91,24.61,34.60,747.92,45.10,100326.00,1.19,8.29,2.87,66.40,32.00,57.60,9.07,82.70,86.10,11.00,7.33,7.42,7.31,2.71,20.18,8.46,134.19,Lab,41.27,53.97,1.59,40.68
E09000016,E09000016,Havering,Outer London,254300.00,104098.22,11234.97,22.63,40.30,19.30,62.30,18.40,1710.00,604.00,785.00,10.90,Ireland,1.06,India,0.97,Nigeria,0.94,15.70,4.57,2642.00,17.03,Romania,Lithuania,Poland,76.50,81.30,71.80,5.30,3.27,4.00,7.01,18.20,10.50,26.00,33398.00,36539.00,27455.00,36670.00,16.94,91300.00,20.68,0.60,10115.00,75.30,62.93,2.53,12.92,287500.00,1543.64,1010.00,35.15,33.88,17.21,13.75,59.30,1031.88,32.40,117634.00,1.21,7.80,2.50,59.80,42.00,38.92,12.57,80.20,83.90,22.80,7.39,7.65,7.21,3.28,21.79,5.91,159.28,No Overall Control,40.74,1.85,0.00,43.07
E09000017,E09000017,Hillingdon,Outer London,301000.00,110827.48,11570.11,26.02,36.40,21.30,65.60,13.10,-1616.00,4139.00,2458.00,32.40,India,5.70,Pakistan,1.76,Ireland,1.58,45.67,18.76,6993.00,35.81,Romania,Poland,India,73.20,80.70,65.90,5.80,2.46,2.40,6.48,17.90,8.70,40.20,33508.00,36107.00,28778.00,37040.00,23.76,220900.00,11.40,1.03,13505.00,75.00,76.62,2.55,14.71,350000.00,1388.93,710.00,22.24,32.96,16.55,28.25,49.20,1713.26,43.80,122486.00,1.22,12.26,2.36,62.00,49.00,29.59,12.34,80.40,83.90,20.50,7.37,7.68,7.28,3.47,21.09,6.36,170.13,Cons,64.62,35.38,0.00,36.06
E09000018,E09000018,Hounslow,Outer London,274200.00,105886.90,5597.79,48.98,35.80,21.10,67.60,11.30,-3994.00,4425.00,2871.00,46.30,India,10.75,Poland,4.08,Pakistan,2.78,51.64,28.73,11336.00,62.41,Romania,India,Poland,74.20,84.70,63.20,4.30,2.87,3.20,6.07,17.60,6.50,45.50,31001.00,32235.00,27226.00,35330.00,26.93,165700.00,11.74,1.02,13910.00,76.20,79.16,2.12,12.13,355000.00,1355.77,480.00,25.46,27.00,19.19,28.35,39.60,1277.24,34.50,94042.00,0.99,16.03,3.03,63.20,45.00,50.59,13.50,80.00,83.90,25.00,7.31,7.62,7.40,3.39,24.09,6.48,165.83,Lab,18.33,81.67,0.00,36.81
E09000019,E09000019,Islington,Inner London,231200.00,105038.06,1485.67,155.62,34.80,15.90,75.30,8.80,-1480.00,6295.00,1819.00,36.60,Ireland,2.75,Turkey,1.83,United States,1.52,32.02,19.86,9302.00,54.26,Italy,France,Spain,72.60,78.20,67.00,4.50,4.46,5.20,10.45,14.60,6.20,62.70,36592.00,38284.00,.,39790.00,31.13,231500.00,14.51,1.45,22110.00,72.50,121.22,2.55,13.93,583000.00,1296.15,1030.00,15.36,23.54,35.28,25.46,12.40,877.75,32.80,38629.00,0.41,21.36,5.74,59.90,88.00,57.55,23.43,79.00,83.50,20.20,7.17,7.42,7.06,3.70,22.85,5.01,202.81,Lab,0.00,97.92,0.00,38.38
E09000020,E09000020,Kensington and Chelsea,Inner London,159000.00,80199.87,1212.40,131.14,39.30,16.40,69.30,14.30,-1741.00,2234.00,1047.00,51.90,United States,4.98,France,4.20,Italy,2.72,29.96,27.96,7237.00,66.25,Italy,France,Spain,68.20,76.30,60.40,4.20,3.36,3.60,7.21,14.30,5.20,65.20,.,.,.,55620.00,31.08,143500.00,14.73,1.36,14350.00,74.50,120.90,2.02,12.74,1200000.00,1058.58,380.00,22.64,15.15,29.12,33.09,15.10,1153.80,25.30,44536.00,0.57,16.92,5.79,68.70,37.00,45.82,10.96,83.30,86.40,14.20,7.61,7.80,7.56,3.10,18.58,4.18,136.34,Cons,74.00,24.00,2.00,29.81
